ID,test_id,web100_log_entry_log_time,connection_spec_client_ip,connection_spec_server_ip,connection_spec_client_hostname,connection_spec_client_application,connection_spec_client_browser,connection_spec_client_os,connection_spec_client_geolocation_city,connection_spec_client_geolocation_latitude,connection_spec_client_geolocation_longitude,downloadThroughput
142855106371.231.137.23463.243.224.24,2015/04/09/20150409T03:43:58.109317000Z_c-71-231-137-234.hsd1.wa.comcast.net:52412.s2c_snaplog.gz,1428551063,71.231.137.234,63.243.224.24,c-71-231-137-234.hsd1.wa.comcast.net,,,,Seattle,47.6853981018,-122.2872009277,42.7911495291
142855174174.61.52.24880.239.168.203,2015/04/09/20150409T03:55:16.71161000Z_74-61-52-248.war.clearwire-wmx.net:50055.s2c_snaplog.gz,1428551741,74.61.52.248,80.239.168.203,74-61-52-248.war.clearwire-wmx.net,,BTWebClient/7920,Windows,Seattle,47.6062011719,-122.3320999146,0.2884331116
142855445424.56.255.223103.10.233.11,2015/04/09/20150409T04:40:38.564083000Z_c-24-56-255-223.customer.broadstripe.net:52272.s2c_snaplog.gz,1428554454,24.56.255.223,103.10.233.11,,,,,Seattle,47.6062011719,-122.3320999146,0.9837728106
142855874576.191.115.672.26.217.74,2015/04/09/20150409T05:52:00.11277000Z_76.191.115.6:64704.s2c_snaplog.gz,1428558745,76.191.115.6,72.26.217.74,,,BTWebClient/3420,Windows,Seattle,47.7396011353,-122.3425979614,0.1122413782
142855894576.191.115.638.102.0.109,2015/04/09/20150409T05:55:17.293772000Z_76.191.115.6:62492.s2c_snaplog.gz,1428558945,76.191.115.6,38.102.0.109,,,BTWebClient/3420,Windows,Seattle,47.7396011353,-122.3425979614,0.1994551974
142855994474.94.77.9438.102.0.97,2015/04/09/20150409T06:12:04.5709000Z_74-94-177-94-NewEngland.hfc.comcastbusiness.net:6084.s2c_snaplog.gz,1428559944,74.94.77.94,38.102.0.97,74-94-177-94-NewEngland.hfc.comcastbusiness.net,,BTWebClient/7920,Windows,Seattle,47.6062011719,-122.3320999146,3.1947927264
142855999276.104.210.14238.102.0.97,2015/04/09/20150409T06:12:48.182770000Z_c-76-104-210-142.hsd1.wa.comcast.net:3175.s2c_snaplog.gz,1428559992,76.104.210.142,38.102.0.97,c-76-104-210-142.hsd1.wa.comcast.net,,BTWebClient/3420,Windows,Seattle,47.6355018616,-122.3235015869,56.371374026
142856132374.94.77.9438.102.0.109,2015/04/09/20150409T06:35:02.909684000Z_74-94-177-94-NewEngland.hfc.comcastbusiness.net:10601.s2c_snaplog.gz,1428561323,74.94.77.94,38.102.0.109,74-94-177-94-NewEngland.hfc.comcastbusiness.net,,BTWebClient/7920,Windows,Seattle,47.6062011719,-122.3320999146,1.466167938
142856233067.183.16.251173.205.3.24,2015/04/09/20150409T06:51:57.405005000Z_c-67-183-16-251.hsd1.wa.comcast.net:52485.s2c_snaplog.gz,1428562330,67.183.16.251,173.205.3.24,,,,,Seattle,47.5406990051,-122.2712020874,14.5188093337
142856288824.143.71.20738.102.0.83,2015/04/09/20150409T07:01:08.166819000Z_c-24-143-71-207.customer.broadstripe.net:53260.s2c_snaplog.gz,1428562888,24.143.71.207,38.102.0.83,c-24-143-71-207.customer.broadstripe.net,,BTWebClient/3420,Windows,Seattle,47.5839004517,-122.2994995117,27.0621342655
